final_test_acc,final_test_loss,steps_to_0.5,steps_to_0.9,weight_norm_reduction,benford_chi2_reduction,p1_change,condition,seed
1.0,6.405675321730087e-06,7500,8500,0.7108915522593793,0.9537811536937044,0.12627798032512635,baseline,75
1.0,7.161691883084131e-06,9000,9500,0.6962182778460739,0.9098816789618072,0.1407349551769284,baseline,6
1.0,5.230968599789776e-05,8500,10000,0.6731096213194077,0.7956130691695805,0.15307550596428704,baseline,32
1.0,7.621110853506252e-06,6500,8000,0.7010138025449305,0.9692320607904177,0.12019436211223045,baseline,107
1.0,5.624788536806591e-05,9500,10000,0.6541595436674696,0.9150653718654687,0.13623872604284107,baseline,112
1.0,6.744595793861663e-06,7000,8500,0.703412462964018,0.954969108013536,0.12432691520893188,baseline,53
1.0,5.97274411120452e-05,10000,10000,0.6597577832136191,0.8043452217717696,0.14514395888642398,baseline,42
1.0,6.907589522597846e-06,8000,9000,0.6944046257811074,0.9504687812308434,0.1277954754154999,baseline,77
1.0,7.26816233509453e-06,8500,9000,0.7022787117125692,0.9513096879451679,0.12695617931047026,baseline,38
1.0,4.050009374623187e-05,9000,9500,0.6681398604502811,0.8354312368096037,0.14886993353820413,baseline,34
1.0,5.064786455477588e-05,9500,11000,0.6585111899616263,0.8297177670763174,0.1463031762555915,baseline,49
1.0,1.124497975979466e-05,7000,8500,0.686225115572873,0.9483203127764683,0.12947349938175076,baseline,21
1.0,6.649482656939654e-06,8500,9000,0.7021859359836522,0.9431306844563254,0.13115493281085208,baseline,76
1.0,7.141475180105772e-06,7500,8500,0.7060167619581018,0.9668344674195098,0.12045632250790997,baseline,72
1.0,7.067848855513148e-06,8000,9000,0.6968573684684383,0.9410889589627489,0.13087819807615378,baseline,100
1.0,3.9627357182325795e-05,9500,9500,0.6690792539122491,0.8130366300044788,0.15001778603120342,baseline,31
1.0,4.0502498450223356e-05,9500,9500,0.6656406920013482,0.8192138288455925,0.149003754955086,baseline,82
1.0,9.492192475590855e-06,8000,8500,0.6818548658263538,0.9612607222292004,0.1255918259264647,baseline,79
1.0,1.3066593965049833e-05,7500,8000,0.7434954414964671,0.8164411649575266,0.16170989169064137,full_steerage_v3,13
1.0,5.400542704592226e-06,6000,6500,0.7631325672248422,0.9592309571621845,0.0995240311389406,full_steerage_v3,62
1.0,1.2257882190169767e-05,8000,8000,0.7487260912275225,0.9260942271490907,0.12533423591132173,full_steerage_v3,73
0.9994202852249146,0.001810475834645331,8000,8500,0.6653111753317401,0.9708706410070121,0.07362894525300387,full_steerage_v3,8
1.0,0.00016407536168117076,7000,7500,0.7171433912743919,0.9937943691377517,0.10286295269927226,full_steerage_v3,46
1.0,1.2983191481907852e-05,8000,8000,0.7481948248881829,0.8276536449075469,0.15422792562193263,full_steerage_v3,30
