final_test_acc,final_test_loss,steps_to_0.5,steps_to_0.9,weight_norm_reduction,benford_chi2_reduction,p1_change,condition,seed
1.0,4.9097376177087426e-05,6000,7000,0.7784910239033697,0.9978761176810105,0.13284761438285125,full_steerage_v2,96
1.0,6.709031731588766e-05,5500,7000,0.7724742554657686,0.9958601113471304,0.12951715022473204,full_steerage_v2,122
1.0,0.00014146676403470337,7500,8500,0.7687712951758314,0.9966146014289577,0.13553521522415582,full_steerage_v2,55
1.0,0.00019704604346770793,8000,8000,0.7665196258405473,0.9884987114430498,0.1323362049095309,full_steerage_v2,29
1.0,7.165767601691186e-05,5500,7000,0.7776891494290548,0.9995197952930572,0.13548299383427453,full_steerage_v2,71
1.0,0.011348176747560501,5500,7000,0.7359400241407108,0.8641180865972687,0.1816872190849372,full_steerage_v2,91
1.0,0.0026631613727658987,7000,8500,0.744327909383125,0.961144137070528,0.16823841045292148,full_steerage_v2,54
1.0,0.00020386830146890134,8000,8000,0.7636471085077352,0.9876726708751152,0.13828944335599863,full_steerage_v2,12
1.0,0.008910008706152439,6000,6500,0.7353700043328456,0.9906906705458441,0.14741558142215053,full_steerage_v2,70
1.0,5.3326537454267964e-05,6000,6500,0.7804846695992127,0.992139234294799,0.1278757779186355,full_steerage_v2,87
1.0,0.00026023719692602754,8000,8500,0.7623664745602622,0.985839517621057,0.13486624121240062,full_steerage_v2,18
1.0,0.0008715799194760621,6000,6500,0.7561630327406847,0.9908811751049306,0.1470950501325343,full_steerage_v2,4
1.0,0.0001449815754313022,7000,8500,0.7688851005244611,0.9868183119031069,0.14008657946294803,full_steerage_v2,118
1.0,0.00012730315211229026,6500,7500,0.7711916255098719,0.9924046459405083,0.1330583006799585,full_steerage_v2,97
1.0,0.00011867634748341516,7000,8000,0.7730263245923797,0.9879974232740611,0.1348491342053705,full_steerage_v2,75
1.0,3.7603011151077226e-05,6000,6500,0.7859641080575488,0.9798512476308442,0.12113741788636628,full_steerage_v2,6
1.0,0.0007823928608559072,7500,9000,0.7551291356776101,0.9905138899130793,0.14422287368906303,full_steerage_v2,32
0.9998067617416382,0.014520809054374695,7000,8000,0.725590125733275,0.9580371339803154,0.1585711507433445,full_steerage_v2,107
1.0,0.009627701714634895,7000,8500,0.7512149052489855,0.9815478052974067,0.158135372248473,full_steerage_v2,112
1.0,3.955717693315819e-05,5500,5500,0.7840190487646701,0.9943098520824407,0.12782985911029157,full_steerage_v2,53
1.0,0.006476189009845257,7000,8000,0.7471099274135352,0.9639546500923598,0.16587494237639738,full_steerage_v2,42
1.0,5.1022601837757975e-05,6000,6500,0.7795560374282526,0.9944981925827103,0.1274688112250778,full_steerage_v2,77
1.0,3.973812272306532e-05,5500,6500,0.7717672519073615,0.9938082344786016,0.12906156361645732,full_steerage_v2,38
1.0,0.00017780574853532016,8500,8500,0.7714125941028811,0.9846682920806332,0.1421340180938112,full_steerage_v2,34
0.9938164353370667,0.05400928482413292,8500,9000,0.7002556091444146,0.9170036472321268,0.1448972499135646,full_steerage_v2,49
1.0,3.4426822821842507e-05,5500,6500,0.7876262242301091,0.9889070080967712,0.1248118229226691,full_steerage_v2,21
